_id,SectionID,Highway,DIR,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,FUNC_CLASS
190,,11,B,1684.633,1704.868,86.24,8.88,0.99,AC,FLANDERS RD,4.7 KM W OF SEINE R BR - DIST 19-20 BDY,ART
191,,11,B,1704.868,1725.603,91.24,9.37,0.91,AC,4.7 KM W OF SEINE R BR - DIST 19-20 BDY,.2 KM W OF MINE CENTRE RD,ART
192,,11,B,1725.603,1746.249,81.61,8.78,1.49,AC,.2 KM W OF MINE CENTRE RD,0.15KM W OF BELL TOWER ENT(N),ART
193,,11,B,1746.249,1761.946,78.8,8.86,1.96,AC,0.15KM W OF BELL TOWER ENT(N),0.1 KM E OF SEC HWY 502,ART
194,,11,B,1761.946,1788.148,84.94,8.88,1.17,AC,0.1 KM E OF SEC HWY 502,FORT FRANCES E LTS,ART
195,,11,B,1796.828,1814.326,85.03,8.84,1.11,AC,FORT FRANCES W LTS - OAKWOOD RD,.5 KM W OF HWY. 613 (DEVLIN),ART
196,,11,B,1814.326,1838.342,70.51,7.51,1.45,AC,.5 KM W OF HWY. 613 (DEVLIN),5.6 KM W OF HWY 71 (RR CROSSING AT BARWICK),ART
197,,11,B,1838.342,1863.959,97.37,10,0.85,AC,5.6 KM W OF HWY 71 (RR CROSSING AT BARWICK),.6 KM W OF JCT. HWY. 619 - PINEWOOD,ART
198,,11,B,1863.959,1881.888,92.85,10,1.46,AC,.6 KM W OF JCT. HWY. 619 - PINEWOOD,RAINY RIVER E LTS - MILLER ST,ART
199,,11,B,1884.591,1884.892,85.35,9.55,1.92,AC,SEC HWY 600,RAINY RIVER INTERNATIONAL BR,ART
200,,11,N,100.5,108.195,87.38,9.02,1.01,AC,CROWN HILL - COUNTY RD 93,ORO-MEDONTE LINE 5,FWY
201,,11,N,108.195,124.11,81.41,8.25,0.88,AC,ORO-MEDONTE LINE 5,MEMORIAL AVE-SIMCOE RD 49 IC 129,FWY
202,,11,N,124.11,131.939,87.61,8.89,0.82,AC,MEMORIAL AVE-SIMCOE RD 49 IC 129,LACLIE ST IC (SUNDIAL DRIVE),FWY
203,,11,N,131.939,134.238,72.18,7.7,1.45,AC,LACLIE ST IC (SUNDIAL DRIVE),BIG CHIEF RD,FWY
204,,11,N,134.238,142.303,75.95,7.79,1.06,AC,BIG CHIEF RD,COUNTY RD 38,FWY
205,,11,N,142.303,146.014,78.51,7.97,0.93,AC,COUNTY RD 38,TRENT CANAL BR,FWY
206,,11,N,146.014,149.289,83.85,8.85,1.28,AC,TRENT CANAL BR,SEVERN RIVER BR,FWY
207,,11,N,149.289,157.061,59.99,6.62,1.78,AC,SEVERN RIVER BR,S. KASHE LAKE RD.,FWY
208,,11,N,157.061,165.247,67.36,7.23,1.53,AC,S. KASHE LAKE RD.,JCT. HWY 169,FWY
209,,11,N,165.247,170.226,63.52,6.66,1.36,AC,JCT. HWY 169,DOE LAKE RD (MUSKOKA RD 41/6) IC,FWY
210,,11,N,170.226,177.087,95.11,9.64,0.72,AC,DOE LAKE RD (MUSKOKA RD 41/6) IC,JCT HWY 118,FWY
211,,11,N,177.087,187.721,82.35,8.41,0.95,AC,JCT HWY 118,JCT. HWY 117,FWY
212,,11,N,187.721,200.044,89.18,8.99,0.73,AC,JCT. HWY 117,SOUTH MARY LAKE RD (MUSKOKA RD 44),FWY
213,,11,N,200.044,209.532,87.43,8.89,0.85,AC,SOUTH MARY LAKE RD (MUSKOKA RD 44),STEPHENSON RD 12,FWY
214,,11,N,209.532,214.519,83.96,8.51,0.85,AC,STEPHENSON RD 12,MUSKOKA RD. 3,FWY
215,,11,N,214.519,220.689,90.3,9.35,1.02,AC,MUSKOKA RD. 3,1.9 KM N OF HWY 60,FWY
216,,11,N,220.689,224.808,76.29,7.9,1.14,AC,1.9 KM N OF HWY 60,6.5 KM N OF HWY 60,FWY
217,,11,N,224.808,230.548,77.1,7.9,1.04,AC,6.5 KM N OF HWY 60,MTO/MNDM BOUNDARY,FWY
218,,11,N,230.548,238.856,88.16,9.01,0.89,AC,MTO/MNDM BOUNDARY,1.5 N OF STATION RD,FWY
219,,11,N,238.856,244.74,93.72,9.56,0.81,AC,1.5 N OF STATION RD,1KM N JCT OF HWY 518 (PAVE CHANGE),FWY
220,,11,N,244.74,253.984,62.23,6.69,1.57,AC,1KM N JCT OF HWY 518 (PAVE CHANGE),1 KM N OF HWY 520 I/C,FWY
221,,11,N,253.984,262.904,70.79,7.59,1.51,AC,1 KM N OF HWY 520 I/C,1KM N OF STIRLING CR RD I/C,FWY
222,,11,N,262.904,269.666,81.18,8.45,1.15,AC,1KM N OF STIRLING CR RD I/C,MUSKKOKA RD OP,FWY
223,,11,N,269.666,277.386,92.79,9.57,0.95,AC,MUSKKOKA RD OP,1KM S OF BOUNDARY RD I/C,FWY
224,,11,N,277.386,287.038,93.22,9.61,0.94,AC,1KM S OF BOUNDARY RD I/C,2KM N OF N JCT OF HWY 124,FWY
225,,11,N,287.038,295.896,91.19,9.55,1.14,AC,2KM N OF N JCT OF HWY 124,1 KM S OF MCFADDEN LINE OVERPASS,FWY
226,,11,N,295.896,301.986,98.87,10,0.65,AC,1 KM S OF MCFADDEN LINE OVERPASS,9.6 KM S OF HWY 534 (HEMLOCK RD),FWY
227,,11,N,301.986,307.341,59.44,6.65,1.89,AC,9.6 KM S OF HWY 534 (HEMLOCK RD),5.0 KM S OF HWY 534,FWY
228,,11,N,307.341,314.967,83.52,8.72,1.16,AC,5.0 KM S OF HWY 534,2.0 KM N OF HWY 534 (McCHARLES LINE),FWY
229,,11,N,314.967,324.152,81.35,8.32,0.97,AC,2.0 KM N OF HWY 534 (McCHARLES LINE),1.5 KM S OF HWY 654 (RIVERS RD),FWY
230,,11,N,324.152,334.662,89.72,9.14,0.84,AC,1.5 KM S OF HWY 654 (RIVERS RD),S JCT HWY 11B (LAKESHORE DRIVE),FWY
231,,11,N,334.662,340.65,82.33,8.54,1.11,AC,S JCT HWY 11B (LAKESHORE DRIVE),0.2 KM N OF S JCT HWY 17,FWY
232,,11,N,340.65,344.311,92.89,9.5,2.06,AC,0.2 KM N OF S JCT HWY 17,ALGONQUIN AV-N JCT HWYS 17/11B,FWY
233,,11,N,344.311,345.023,88.09,9.3,1.25,AC,ALGONQUIN AV-N JCT HWYS 17/11B,AIRPORT RD,FWY
234,,11,N,345.023,350.548,92.49,9.61,1.04,AC,AIRPORT RD,6.9KM N OF JCT HWY 17/11B,FWY
235,,11,N,1338.679,1346.35,90.09,9.37,1.07,AC,STILLWATER CK BR,0.66KM S SEC HWY 628 - RED ROCK RD,ART
236,,11,N,1346.35,1349.322,92.69,9.47,0.84,AC,0.66KM S SEC HWY 628 - RED ROCK RD,4.3 KM S OF HWY 628,ART
237,,11,N,1399.58,1405.3,88.37,9,0.85,AC,8.4KM E OF LAKESHORE DR (DIVIDED HWY STARTS),2.6KM E OF LAKESHORE DR,ART
238,,11,N,1405.3,1418.621,88.72,9.08,0.9,AC,2.6KM E OF LAKESHORE DR,2.3 KM W OF MACKENZIE STATION RD,ART
239,,11,N,1418.621,1430.673,91.16,9.26,0.79,AC,2.3 KM W OF MACKENZIE STATION RD,0.4 KM E OF HWY 527,ART
240,,11,N,1430.673,1435.823,90.07,9.26,0.94,AC,0.4 KM E OF HWY 527,1KM W OF HODDER AVENUE - COPENHAGEN ROAD,ART
241,,11,N,1435.823,1438.932,80.44,8.54,1.36,AC,1KM W OF HODDER AVENUE - COPENHAGEN ROAD,T BAY - BALSAM AV,ART
242,,11,S,100.5,108.195,72.48,7.48,1.15,AC,CROWN HILL - COUNTY RD 93,ORO-MEDONTE LINE 5,FWY
243,,11,S,108.195,124.11,73.53,7.53,1.07,AC,ORO-MEDONTE LINE 5,MEMORIAL AVE-SIMCOE RD 49 IC 129,FWY
244,,11,S,124.11,131.939,86.99,8.92,0.94,AC,MEMORIAL AVE-SIMCOE RD 49 IC 129,LACLIE ST IC (SUNDIAL DRIVE),FWY
245,,11,S,131.939,134.238,70.53,7.42,1.34,AC,LACLIE ST IC (SUNDIAL DRIVE),PENLEY RD,FWY
246,,11,S,134.238,142.303,69.12,7.46,1.57,AC,PENLEY RD,COUNTY RD 38,FWY
247,,11,S,142.303,146.014,85.48,8.74,0.93,AC,COUNTY RD 38,TRENT CANAL BR,FWY
248,,11,S,146.014,149.289,83.14,8.6,1.07,AC,TRENT CANAL BR,SEVERN RIVER BR,FWY
249,,11,S,149.289,157.061,58.14,6.43,1.8,AC,SEVERN RIVER BR,S. KASHE LAKE RD.,FWY
250,,11,S,157.061,165.247,69.97,7.38,1.36,AC,S. KASHE LAKE RD.,JCT. HWY 169,FWY
251,,11,S,165.247,170.226,62.69,6.75,1.58,AC,JCT. HWY 169,DOE LAKE RD (MUSKOKA RD 41/6) IC,FWY
252,,11,S,170.226,177.087,93.09,9.57,0.91,AC,DOE LAKE RD (MUSKOKA RD 41/6) IC,JCT HWY 118,FWY
253,,11,S,177.087,187.721,77.76,8,1.07,AC,JCT HWY 118,JCT. HWY 117,FWY
254,,11,S,187.721,200.044,87.21,8.83,0.8,AC,JCT. HWY 117,SOUTH MARY LAKE RD (MUSKOKA RD 44),FWY
255,,11,S,200.044,209.532,83.25,8.68,1.15,AC,SOUTH MARY LAKE RD (MUSKOKA RD 44),STEPHENSON RD 12,FWY
256,,11,S,209.532,214.519,83.56,8.56,0.97,AC,STEPHENSON RD 12,MUSKOKA RD. 3,FWY
257,,11,S,214.519,220.689,90.88,9.35,0.94,AC,MUSKOKA RD. 3,1.9 KM N OF HWY 60,FWY
258,,11,S,220.689,224.808,68.74,7.15,1.25,AC,1.9 KM N OF HWY 60,6.5 KM N OF HWY 60,FWY
259,,11,S,224.808,230.548,75.8,7.77,1.05,AC,6.5 KM N OF HWY 60,MTO/MNDM BOUNDARY,FWY
260,,11,S,230.548,238.856,82.57,8.45,0.97,AC,MTO/MNDM BOUNDARY,1.5 N OF STATION RD,FWY
261,,11,S,238.856,244.74,93.1,9.53,0.86,AC,1.5 N OF STATION RD,1KM N JCT OF HWY 518 (PAVE CHANGE),FWY
262,,11,S,244.74,253.984,47.97,5.3,1.8,AC,1KM N JCT OF HWY 518 (PAVE CHANGE),1 KM N OF HWY 520 I/C,FWY
263,,11,S,253.984,262.904,74.98,7.8,1.2,AC,1 KM N OF HWY 520 I/C,1KM N OF STIRLING CR RD I/C,FWY
264,,11,S,262.904,269.666,66.51,7.17,1.57,AC,1KM N OF STIRLING CR RD I/C,MUSKOKA RD OP,FWY
265,,11,S,269.666,277.386,93.04,9.54,0.88,AC,MUSKOKA RD OP,1KM S OF BOUNDARY RD I/C,FWY
266,,11,S,277.386,287.038,93.59,9.55,0.82,AC,1KM S OF BOUNDARY RD I/C,2KM N OF N JCT OF HWY 124,FWY
267,,11,S,287.038,295.896,92.6,9.44,0.82,AC,2KM N OF N JCT OF HWY 124,1 KM S OF MCFADDEN LINE OVERPASS,FWY
268,,11,S,295.896,301.986,93.25,9.53,0.84,AC,1 KM S OF MCFADDEN LINE OVERPASS,9.6 KM S OF HWY 534 (HEMLOCK RD),FWY
269,,11,S,301.986,307.341,74.38,7.96,1.47,AC,9.6 KM S OF HWY 534 (HEMLOCK RD),5.0 KM S OF HWY 534,FWY
270,,11,S,307.341,314.967,67.99,7.23,1.45,AC,5.0 KM S OF HWY 534,2.0 KM N OF HWY 534 (McCHARLES LINE),FWY
271,,11,S,314.967,324.152,78.32,8.25,1.29,AC,2.0 KM N OF HWY 534 (McCHARLES LINE),1.5 KM S OF HWY 654 (RIVERS RD),FWY
272,,11,S,324.152,334.662,90.16,9.16,0.81,AC,1.5 KM S OF HWY 654 (RIVERS RD),S JCT HWY 11B (LAKESHORE DRIVE),FWY
273,,11,S,334.662,340.65,86.74,8.96,1.02,AC,S JCT HWY 11B (LAKESHORE DRIVE),0.2 KM N OF S JCT HWY 17,FWY
274,,11,S,340.65,344.311,47.16,5.73,2.42,AC,0.2 KM N OF S JCT HWY 17,ALGONQUIN AV-N JCT HWYS 17/11B,FWY
275,,11,S,344.311,345.023,98.87,10,0.65,AC,ALGONQUIN AV-N JCT HWYS 17/11B,AIRPORT RD,FWY
276,,11,S,345.023,350.548,98.87,10,0.65,AC,AIRPORT RD,6.9KM N OF JCT HWY 17/11B,FWY
277,,11,S,1338.679,1346.35,91.81,9.49,0.98,AC,STILLWATER CK BR,0.66KM S SEC HWY 628 - RED ROCK RD,ART
278,,11,S,1346.35,1349.322,92.65,9.48,0.86,AC,0.66KM S SEC HWY 628 - RED ROCK RD,4.3 KM S OF HWY 628,ART
279,,11,S,1399.58,1405.3,84.83,8.63,0.88,AC,8.4KM E OF LAKESHORE DR (DIVIDED HWY STARTS),2.6KM E OF LAKESHORE DR,ART
280,,11,S,1405.3,1418.621,86.98,8.93,0.95,AC,2.6KM E OF LAKESHORE DR,2.3 KM W OF MACKENZIE STATION RD,ART
281,,11,S,1418.621,1430.673,91.37,9.27,0.78,AC,2.3 KM W OF MACKENZIE STATION RD,0.4 KM E OF HWY 527,ART
282,,11,S,1430.673,1435.823,86.76,9.07,1.15,AC,0.4 KM E OF HWY 527,1KM W OF HODDER AVENUE - COPENHAGEN ROAD,ART
283,,11,S,1435.823,1438.932,73.29,7.99,1.65,AC,1KM W OF HODDER AVENUE - COPENHAGEN ROAD,T BAY - BALSAM AV,ART
284,,112,B,0,19.8,81.48,8.48,1.15,AC,HWY 11,KIRKLAND LAKE - HWY 66,LOC
285,,115,E,18.814,21.553,90.95,9.62,0.81,PC,1.0 KM E OF HWY 35 IC,200 M E OF CO RD 20 (BDRY RD) IC,FWY
286,,115,E,21.553,33.475,70.22,7.15,1.05,AC,200 M E OF CO RD 20 (BDRY RD) IC,100 M E OF TAPLEY 1/4 LN (CAVAN 6TH LN) IC,FWY
287,,115,E,33.475,36.567,86.13,9.71,1.11,PC,100 M E OF TAPLEY 1/4 LN (CAVAN 6TH LN) IC,600 M E OF LARMER LN,FWY
288,,115,E,36.567,41.067,91.51,9.7,0.87,PC,600 M E OF LARMER LN,700 M E OF HWY 7A IC,FWY
289,,115,E,41.067,45.051,92.38,9.45,0.86,AC,700 M E OF HWY 7A IC,700 M W OF CO RD 28 IC,FWY
290,,115,W,18.814,21.222,92.89,9.5,1.12,AC,1.0 KM N OF HWY 35 IC,CO RD 20 (BDRY RD) IC,FWY
291,,115,W,21.222,23.435,90.82,9.7,0.67,PC,CO RD 20 (BDRY RD) IC,3.1 KM W OF CTY RD 32,FWY
292,,115,W,23.435,35.038,91.16,9.65,0.8,PC,3.1 KM W OF CTY RD 32,1.5 KM E OF TAPLEY 1/4 LINE (CAVAN 6TH LN),FWY
293,,115,W,35.038,36.577,69,7.25,1.34,AC,1.5 KM E OF TAPLEY 1/4 LINE (CAVAN 6TH LN),1.4 KM W OF CO RD 10 IC,FWY
294,,115,W,36.577,40.484,76.92,7.88,1.04,AC,1.4 KM W OF CO RD 10 IC,100 M E OF HWY 7A IC,FWY
295,,115,W,40.484,45.051,89.93,9.63,1.18,PC,100 M E OF HWY 7A IC,1.1 KM W OF CR 28 IC,FWY
296,,118,B,0,11.45,90.49,9.52,1.19,AC,HWY 28,E JCT CO RD 648,COL
297,,118,B,11.45,23.008,82.35,8.58,1.15,AC,E JCT CO RD 648,W JCT CO RD 648,COL
298,,118,B,23.008,36.053,91.6,9.57,1.11,AC,W JCT CO RD 648,REG BDY TRAPPERS TRAIL,COL
299,,118,B,36.053,42.244,90.22,9.3,0.97,AC,REG BDY TRAPPERS TRAIL,0.3KM E OF KENAWAY RD(N),COL
300,,118,B,42.244,49.975,92.28,9.57,1.02,AC,0.3KM E OF KENAWAY RD(N),1.0KM E OF HALIBURTON RD 121 (DOVER SPRING RD),COL
301,,118,B,50.822,53.511,92.89,9.5,1.86,AC,SUNNYSIDE ST,3.4 KM N OF HALIBURTON RD 121,COL
302,,118,B,53.511,65.932,92.89,9.5,2.09,AC,3.4 KM N OF HALIBURTON RD 121,NORLEY ROAD,COL
303,,118,B,65.932,74.41,92.89,9.5,2.37,AC,NORLEY ROAD,HIGHWAY 35,COL
304,,118,B,74.41,97.523,88.22,9.45,1.41,AC,HIGHWAY 35,HALIBURTON/MUSKOKA DIST BDY,COL
305,,118,B,97.523,123.872,49.3,5.66,2.05,AC,HALIBURTON/MUSKOKA DIST BDY,4.4 KM E OF HWY 11,COL
306,,118,B,123.872,128.52,68.51,7.17,1.31,AC,4.4 KM E OF HWY 11,HWY 11,COL
307,,11,B,0.025,5.545,84.3,8.95,1.34,AC,S JCT HWY 11 (TRI-TOWN BYPASS),COBALT W LTS,COL
308,,11,B,7.888,9.08,84.82,9.12,1.47,AC,COBALT E LTS-ONR OH,0.1KM E OF QUEBEC AVE,COL
309,,11,B,9.104,12.501,91.97,9.5,0.97,AC,HWY 11,ATIKOKAN - ZUKE ST - END OF HWY,COL
310,,12,B,49.155,59.071,86.79,8.89,0.93,AC,NORTH JUNCTION HIGHWAY 7,SOUTH JUNCTION HIGHWAY 48,ART
311,,12,B,59.071,72.616,91.98,9.48,0.95,AC,SOUTH JUNCTION HIGHWAY 48,GAMEBRIDGE-DURHAM RD. 50,ART
312,,12,B,72.616,82.336,68.74,7.47,1.64,AC,GAMEBRIDGE-DURHAM RD. 50,HWY 169,ART
313,,12,B,82.336,98.33,70.14,7.53,1.52,AC,HWY 169,ORILLIA E LTS-W END OF BR,ART
314,,12,B,98.33,99.662,86.36,9.32,1.51,AC,ORILLIA E LTS-W END OF BR,ORILLIA - S JCT HWY 7184,ART
315,,12,B,99.662,105.124,85.61,9.18,1.44,AC,ORILLIA - S JCT HWY 7184,ORILLIA - S JCT HWY 11(BY PASS),ART
316,,12,B,107.499,113.039,90.09,9.45,1.16,AC,N JCT HWY 11/12 IC,SIMCOE RD 22-PRICES CORNERS,ART
317,,12,B,113.039,128.881,93.63,9.55,0.81,AC,SIMCOE RD 22-PRICES CORNERS,SIMCOE RD 23 IC-GRAY ST,ART
318,,12,B,134.781,147.691,87.45,9.1,1.1,AC,HWYS 400/69 IC,TALBOT ST - SIMCOE RD 37,ART
319,,12,B,150.991,153.367,82.62,8.72,1.28,AC,MIDLAND W LTS-0.2 KM W OF KING ST,HWY 93,ART
320,,12,E,147.691,150.991,74.23,8.08,1.63,AC,TALBOT ST - SIMCOE RD 37,MIDLAND W LTS-0.2 KM W OF KING ST,ART
321,,12,W,147.691,150.991,62.52,6.77,1.62,AC,TALBOT ST - SIMCOE RD 37,MIDLAND W LTS-0.2 KM W OF KING ST,ART
322,,124,B,0,20.393,92.3,9.42,0.83,AC,HWY 69,0.6KM W OF MCKELLAR CENTRE RD,ART
323,,124,B,20.393,26.923,73.18,7.47,1.04,AC,0.6KM W OF MCKELLAR CENTRE RD,CROWN RETREATS RD,ART
324,,124,B,26.923,37.847,63.52,7.35,2.19,AC,CROWN RETREATS RD,W. JCT HWY 520,ART
325,,124,B,37.847,57.371,80.13,8.64,1.52,AC,W. JCT HWY 520,2.2 KM E OF HWY 510 (DISTRESS RIVER BR),ART
326,,124,B,57.371,75.026,79.43,8.23,1.12,AC,2.2 KM E OF HWY 510 (DISTRESS RIVER BR),S JCT OF HWY 11 (HWY 124 I/C),ART
327,,124,B,75.026,88.27,74.11,7.89,1.42,AC,S JCT OF HWY 11 (HWY 124 I/C),N JCT OF HWY 11 (SERVICE RD I/C),LOC
328,,124,B,88.27,93.46,55.37,6.73,2.53,AC,N JCT OF HWY 11 (SERVICE RD I/C),GOREVILLE RD(W) - SUMMIT RD(E),LOC
329,,125,B,0,8.941,66.95,7.21,1.56,AC,HWY 105,0.05KM N OF NUNGESSER RD,COL
330,,125,B,8.941,13.6,65.65,6.95,1.42,AC,0.05KM N OF NUNGESSER RD,END OF HWY - COCHENOUR DOCK,COL
331,,127,B,0,16.85,90.66,9.39,1.02,AC,MAYNOOTH - HWY 62,HASTING/NIPPISSING BDY (130M S OF McKENZIE LAKE RD,ART
332,,127,B,16.85,21.502,92.89,9.5,2.01,AC,HASTING/NIPPISSING BDY (130M S OF McKENZIE LAKE RD,3.6 KM N SABINE TWP RD L25 C1,ART
333,,127,B,21.502,38.52,92.89,9.5,2.17,AC,3.6 KM N SABINE TWP RD L25 C1,HWY 60,ART
334,,129,B,0.899,30.755,73.22,8.12,1.82,AC,THESSALON N LTS - DYMENT MILL,SEC HWY 554,COL
335,,129,B,30.755,47.265,86.68,8.92,0.98,AC,SEC HWY 554,0.4KM N OF GOULD-CASSON TWP BDY,COL
336,,129,B,47.265,61.56,89.21,9.21,0.99,AC,0.4KM N OF GOULD-CASSON TWP BDY,LAFOE CK BR,COL
337,,129,B,61.56,72.64,67.75,8.63,3.15,ST,LAFOE CK BR,11KM N OF LAFOE CK BR,COL
338,,129,B,72.64,82.354,70.95,8.71,3.68,ST,11KM N OF LAFOE CK BR,GRAVEL R BR,COL
339,,129,B,82.354,94.038,73.73,8.74,3.22,ST,GRAVEL R BR,11.8 KM N OF GRAVEL R BR,COL
340,,129,B,94.038,104.259,66.47,8.2,3.65,ST,11.8 KM N OF GRAVEL R BR,0.7 KM N OF VILL - ROLL TWP BDY,COL
341,,129,B,104.259,122.019,70.68,8.5,3.38,ST,0.7 KM N OF VILL - ROLL TWP BDY,MTO PATROL YARD,COL
342,,129,B,122.019,162.3,72.08,8.43,3.01,ST,MTO PATROL YARD,16.7 KM N OF ALGOMA-SUDBURY BDY,COL
343,,129,B,162.3,185.062,93.85,9.63,0.88,AC,16.7 KM N OF ALGOMA-SUDBURY BDY,FIVE MILE CREEK CULVERT,COL
344,,129,B,185.062,210.798,93.29,9.57,0.88,AC,FIVE MILE CREEK CULVERT,S JCT HWY 101,COL
345,,129,B,218.402,221.467,74.55,8,1.5,AC,N JCT HWY 101 - FOLEYET RD,CHAPLEAU S LTS (MILL ST) - HWY 129 END SIGN,COL
346,,130,B,0,9.167,90.41,9.46,1.13,AC,HWY 61,0.6 KM S OF KAMINISTIQUIA R BR,COL
347,,130,B,9.167,13.4,90.93,9.46,1.06,AC,0.6 KM S OF KAMINISTIQUIA R BR,ARTHUR ST (FORMERLY HWYS 11/17),COL
348,,130,B,13.4,15.426,86.47,9.12,1.25,AC,ARTHUR ST (FORMERLY HWYS 11/17),HWY 11/17,COL
349,,132,B,1.728,5.735,67.22,7.02,1.3,AC,RENFREW WEST LIMITS,250M WEST OF COUNTY RD 5 (STONE RD),ART
350,,132,B,5.735,16.923,90.65,9.34,0.96,AC,250M WEST OF COUNTY RD 5 (STONE RD),200M EAST OF GORRA HILL RD,ART
351,,132,B,16.923,25.567,92.68,9.5,0.88,AC,200M EAST OF GORRA HILL RD,DACRE - SEC HWY 513,ART
352,,132,B,25.567,30.29,92.14,9.46,0.9,AC,DACRE - SEC HWY 513,HWY 41,ART
353,,137,B,0,2.7,63.67,7.29,2.1,AC,CANADA-USA BORDER,THOUSAND ISLAND I/C,FWY
354,,137,N,2.7,4.3,85.37,9.03,1.29,AC,THOUSAND ISLAND I/C,HWY 401,FWY
355,,137,S,2.7,4.3,81.28,8.54,1.25,AC,THOUSAND ISLAND I/C,HWY 401,FWY
356,,138,B,4.328,21.731,59.4,6.41,1.61,AC,CORNWALL N LTS - CENTRE RD,MONKLAND - HWY 43,ART
357,,138,B,21.731,38.71,90.68,9.29,0.89,AC,MONKLAND - HWY 43,HWY 417 IC,ART
358,,140,B,0,5.646,88.22,9.39,1.34,AC,PORT COLBORNE-HWY 3-MAIN ST E,CNR STRUCTURE (FORKES ROAD),ART
359,,140,B,5.646,10.901,81.02,8.76,1.55,AC,CNR STRUCTURE (FORKES ROAD),NIAGARA REGIONAL RD 27 (EAST MAIN ST),ART
360,,141,B,0,7.721,77.47,8.21,1.36,AC,HWY 11,MUSKOKA RD. 35,COL
361,,141,B,7.721,18.935,79.83,8.41,1.28,AC,MUSKOKA RD. 35,1.2 KM W OF MUSKOKA RD 24,COL
362,,141,B,18.935,25.774,92.89,9.5,1,AC,1.2 KM W OF MUSKOKA RD 24,0.1 KM W OF ROSSEAU LAKE RD 2,COL
363,,141,B,25.774,31.137,92.89,9.5,1.23,AC,0.1 KM W OF ROSSEAU LAKE RD 2,PARRY SOUND DIST. BDY,COL
364,,141,B,31.137,36.344,76.85,8.16,1.38,AC,PARRY SOUND DIST. BDY,0.5 KM W OF SHADOW R BR.,COL
365,,141,B,36.344,49.895,81.28,8.43,1.11,AC,0.5 KM W OF SHADOW R BR.,HWY 7290 (F HWY 69)/141 N JCT,COL
366,,141,B,49.895,53.309,48.07,5.58,2.12,AC,HWY 7290 (F HWY 69)/141 N JCT,HWY 7289 / HWY141 S JCT,COL
367,,141,B,53.309,54.239,51.21,5.86,2.04,AC,HWY 7289 / HWY141 S JCT,HWY 400/141 IC 207,COL
368,,144,B,0,17.546,80.6,8.37,1.13,AC,JCT HWY 17 & HWY 144N,JCT HWY 144 & REG RDS 35 & 15,ART
369,,144,B,19.646,27.688,76.47,8.07,1.32,AC,OMER LEROUX ST (CHELMSFORD),2.0 KM N OF CPR OVERHEAD,ART
370,,144,B,27.688,39.195,81.05,8.6,1.35,AC,2.0 KM N OF CPR OVERHEAD,1.5 KM S OF REG RD 8,ART
371,,144,B,39.195,57.338,86.64,9.16,1.28,AC,1.5 KM S OF REG RD 8,CENTER ST - CARTIER W ENTRANCE,ART
372,,144,B,57.338,81.886,89.89,9.18,0.87,AC,CENTER ST - CARTIER W ENTRANCE,HALF WAY LAKE CULVERT,ART
373,,144,B,81.886,100.922,92.65,9.45,0.82,AC,HALF WAY LAKE CULVERT,.3KM N OF MULD-DUBLIN TWP BDY(SUD-NEWLIS BDY),ART
374,,144,B,100.922,118.134,91.39,9.34,0.86,AC,.3KM N OF MULD-DUBLIN TWP BDY(SUD-NEWLIS BDY),BAYNES-MARQUETTE TWP BDY,ART
375,,144,B,118.134,143.021,86.08,8.89,1.03,AC,BAYNES-MARQUETTE TWP BDY,10.2 KM S JCT 560 & 144,ART
376,,144,B,143.021,163.052,84.64,9.01,1.36,AC,10.2 KM S JCT 560 & 144,MESOMIKENDA LAKE RD-CHESTER TWP,ART
377,,144,B,163.052,185.132,85.17,10,2.48,AC,MESOMIKENDA LAKE RD-CHESTER TWP,JCT HWY 661 - GOGAMA,ART
378,,144,B,185.132,205.571,83.96,8.74,1.13,AC,JCT HWY 661 - GOGAMA,STETHAM/HAZEN TWP BDY,ART
379,,144,B,205.571,228.509,86.5,9.11,1.23,AC,STETHAM/HAZEN TWP BDY,KENOGAMISSI FALLS ROAD (E) HASSARD TWP,ART
380,,144,B,228.509,255.907,73.92,8.28,1.92,AC,KENOGAMISSI FALLS ROAD (E) HASSARD TWP,THE CACHE RD - MCKEOWN TWP,ART
381,,144,B,255.907,270.277,90.88,9.42,1.02,AC,THE CACHE RD - MCKEOWN TWP,TIMMINS - HWY 101,ART
382,,144,N,17.546,19.646,84.72,9.05,1.4,AC,JCT HWY 144 & REG RDS 35 & 15,OMER LEROUX ST (CHELMSFORD),ART
383,,144,S,17.546,19.646,82.42,8.65,1.23,AC,JCT HWY 144 & REG RDS 35 & 15,OMER LEROUX ST (CHELMSFORD),ART
384,,148,B,0,4.969,46.99,6.13,2.92,AC,ONTARIO-QUEBEC PROV BDY,CITY OF PEMBROKE-CEDAR LANE,COL
385,,15,B,6.464,18.197,60.29,6.44,1.53,AC,HWY 401,SHANNON ROAD (E),ART
386,,15,B,18.197,33.232,67.81,7.04,1.24,AC,SHANNON ROAD (E),SEELEYS BAY (BIG HILL RD),ART
387,,15,B,33.232,60.33,91.77,9.48,0.98,AC,SEELEYS BAY (BIG HILL RD),YOUNGS HILL ROAD,ART
388,,15,B,60.33,64.207,78.4,8.21,1.23,AC,YOUNGS HILL ROAD,S LIMITS OF PORTLAND,ART
